DayOfWeek,DOT_ID_Operating_Airline,DepDelayMinutes,OriginWac,DestWac,CRSDepTime,CRSArrTime,ArrDelayMinutes,Distance
3,19393,3.0,74,54,0,0,1.0,1.0
3,19393,0.0,74,91,1,1,0.0,2.0
3,19393,0.0,74,35,0,1,0.0,2.0
3,19393,1.0,74,35,1,1,0.0,2.0
3,19393,3.0,74,35,2,2,0.0,2.0
3,19393,3.0,74,37,1,2,1.0,2.0
3,19393,0.0,74,44,0,1,0.0,2.0
3,19393,0.0,74,74,2,2,0.0,0.0
3,19393,0.0,74,74,0,0,0.0,0.0
3,19393,2.0,74,74,2,2,0.0,0.0
3,19393,0.0,74,74,2,2,0.0,0.0
3,19393,0.0,74,74,1,1,0.0,0.0
3,19393,0.0,74,74,1,1,0.0,0.0
3,19393,0.0,74,74,0,0,0.0,0.0
3,19393,1.0,74,74,1,1,0.0,0.0
3,19393,1.0,74,74,1,1,0.0,0.0
3,19393,0.0,74,38,1,1,0.0,2.0
3,19393,0.0,74,82,2,2,0.0,1.0
3,19393,0.0,74,82,0,0,0.0,1.0
3,19393,3.0,74,82,0,0,1.0,1.0
3,19393,2.0,74,82,1,1,0.0,1.0
3,19393,1.0,74,82,2,2,0.0,1.0
3,19393,3.0,74,82,2,2,0.0,1.0
3,19393,0.0,74,82,1,1,0.0,1.0
3,19393,2.0,74,33,1,2,0.0,1.0
3,19393,3.0,74,74,1,1,1.0,1.0
3,19393,0.0,74,74,0,0,0.0,1.0
3,19393,2.0,74,74,2,2,1.0,1.0
3,19393,2.0,74,33,2,2,0.0,2.0
3,19393,0.0,74,33,0,1,0.0,2.0
3,19393,3.0,74,74,2,2,1.0,0.0
3,19393,0.0,74,74,0,1,0.0,0.0
3,19393,1.0,74,74,1,1,0.0,0.0
3,19393,0.0,74,74,1,2,1.0,0.0
3,19393,3.0,74,74,0,1,1.0,0.0
3,19393,3.0,74,74,1,2,1.0,0.0
3,19393,0.0,74,42,1,1,0.0,2.0
3,19393,0.0,74,85,0,0,0.0,2.0
3,19393,1.0,74,85,1,1,1.0,2.0
3,19393,0.0,74,85,2,2,0.0,2.0
3,19393,0.0,74,85,0,1,1.0,2.0
3,19393,3.0,74,85,2,2,1.0,2.0
3,19393,3.0,74,91,2,2,1.0,2.0
3,19393,1.0,74,91,2,2,0.0,2.0
3,19393,0.0,74,91,0,0,0.0,2.0
3,19393,1.0,74,74,2,2,0.0,0.0
3,19393,0.0,74,91,1,1,0.0,2.0
3,19393,0.0,74,91,2,2,0.0,2.0
3,19393,1.0,74,74,2,2,1.0,0.0
3,19393,0.0,74,64,1,1,0.0,1.0
3,19393,2.0,74,64,2,2,1.0,1.0
3,19393,0.0,74,33,0,1,0.0,2.0
3,19393,3.0,74,33,2,2,1.0,2.0
3,19393,3.0,74,33,1,1,1.0,2.0
3,19393,0.0,74,33,1,2,1.0,2.0
3,19393,0.0,74,41,2,2,0.0,2.0
3,19393,3.0,74,41,1,2,0.0,2.0
3,19393,0.0,74,41,0,1,0.0,2.0
3,19393,1.0,74,41,2,2,0.0,2.0
3,19393,0.0,74,41,0,0,0.0,2.0
3,19393,1.0,74,33,1,2,1.0,2.0
3,19393,0.0,74,63,1,2,0.0,2.0
3,19393,0.0,74,72,0,0,0.0,1.0
3,19393,0.0,74,72,2,2,0.0,1.0
3,19393,0.0,74,72,1,1,0.0,1.0
3,19393,3.0,74,72,2,2,1.0,1.0
3,19393,3.0,74,91,1,1,1.0,2.0
3,19393,0.0,74,73,1,1,0.0,0.0
3,19393,3.0,74,91,1,1,1.0,2.0
3,19393,0.0,74,41,0,1,0.0,2.0
3,19393,2.0,74,41,1,2,1.0,2.0
3,19393,0.0,74,81,1,1,0.0,2.0
3,19393,0.0,74,81,2,2,0.0,2.0
3,19393,0.0,74,81,0,0,0.0,2.0
3,19393,1.0,74,81,2,2,0.0,2.0
3,19393,2.0,74,81,1,1,0.0,2.0
3,19393,0.0,74,36,1,2,0.0,2.0
3,19393,0.0,74,91,1,1,0.0,2.0
3,19393,0.0,74,91,0,0,0.0,2.0
3,19393,2.0,74,91,2,2,0.0,2.0
3,19393,2.0,74,91,2,2,0.0,2.0
3,19393,0.0,74,91,0,0,0.0,2.0
3,19393,3.0,74,91,1,1,1.0,2.0
3,19393,2.0,74,91,1,1,0.0,2.0
3,19393,3.0,74,87,1,1,1.0,2.0
3,19393,1.0,74,91,1,1,0.0,2.0
3,19393,1.0,74,91,2,2,0.0,2.0
3,19393,0.0,74,64,1,1,0.0,1.0
3,19393,3.0,74,64,2,2,0.0,1.0
3,19393,0.0,74,64,0,1,0.0,1.0
3,19393,0.0,74,33,2,2,0.0,2.0
3,19393,0.0,74,33,1,1,0.0,2.0
3,19393,0.0,74,73,1,1,1.0,1.0
3,19393,0.0,11,54,1,1,0.0,2.0
3,19393,0.0,11,35,1,1,0.0,0.0
3,19393,0.0,11,35,2,2,0.0,0.0
3,19393,0.0,11,35,1,1,0.0,0.0
3,19393,0.0,11,35,0,0,1.0,0.0
3,19393,1.0,11,35,0,0,0.0,0.0
3,19393,1.0,11,33,0,1,0.0,2.0
3,19393,3.0,11,41,0,0,1.0,1.0
3,19393,3.0,11,41,2,2,1.0,1.0
3,19393,3.0,11,33,2,2,1.0,2.0
3,19393,0.0,51,35,1,1,0.0,1.0
3,19393,2.0,51,74,1,1,0.0,1.0
3,19393,0.0,51,74,2,2,0.0,1.0
3,19393,0.0,51,82,0,0,0.0,2.0
3,19393,0.0,51,74,0,0,0.0,1.0
3,19393,0.0,51,74,1,1,0.0,1.0
3,19393,3.0,51,33,1,2,1.0,1.0
3,19393,0.0,51,41,1,2,0.0,1.0
3,19393,1.0,51,41,1,1,0.0,1.0
3,19393,0.0,51,33,1,2,0.0,1.0
3,19393,3.0,93,85,1,2,1.0,2.0
3,19393,3.0,93,91,1,2,1.0,1.0
3,19393,0.0,93,91,0,0,0.0,1.0
3,19393,1.0,54,34,2,0,0.0,0.0
3,19393,3.0,54,34,1,1,1.0,0.0
3,19393,3.0,54,34,2,2,1.0,0.0
3,19393,0.0,54,74,2,2,0.0,1.0
3,19393,0.0,54,74,0,0,0.0,1.0
3,19393,0.0,54,74,1,2,1.0,1.0
3,19393,0.0,54,74,2,2,0.0,1.0
3,19393,0.0,54,74,0,1,1.0,1.0
3,19393,2.0,54,11,1,1,0.0,2.0
3,19393,0.0,54,13,2,0,0.0,2.0
3,19393,2.0,54,13,1,2,0.0,2.0
3,19393,0.0,54,13,0,1,0.0,2.0
3,19393,0.0,54,91,1,1,0.0,2.0
3,19393,0.0,54,35,0,0,0.0,1.0
3,19393,0.0,54,35,2,2,0.0,1.0
3,19393,2.0,54,35,0,1,1.0,1.0
3,19393,0.0,54,35,1,1,0.0,1.0
3,19393,3.0,54,35,2,2,1.0,1.0
3,19393,2.0,54,37,1,1,0.0,1.0
3,19393,0.0,54,37,2,2,0.0,1.0
3,19393,0.0,54,44,2,2,0.0,1.0
3,19393,0.0,54,44,0,1,0.0,1.0
3,19393,0.0,54,36,1,1,0.0,0.0
3,19393,0.0,54,36,2,2,0.0,0.0
3,19393,0.0,54,44,1,2,0.0,0.0
3,19393,0.0,54,44,1,1,0.0,0.0
3,19393,0.0,54,74,0,0,1.0,1.0
3,19393,1.0,54,74,2,2,1.0,1.0
3,19393,0.0,54,74,0,1,1.0,1.0
3,19393,2.0,54,74,1,1,0.0,1.0
3,19393,1.0,54,74,2,2,1.0,1.0
3,19393,3.0,54,38,2,2,1.0,1.0
3,19393,0.0,54,38,1,2,1.0,1.0
3,19393,3.0,54,38,1,1,1.0,1.0
3,19393,0.0,54,38,0,0,0.0,1.0
3,19393,0.0,54,82,2,2,0.0,2.0
3,19393,0.0,54,82,0,0,0.0,2.0
3,19393,3.0,54,82,1,2,1.0,2.0
3,19393,0.0,54,82,1,1,1.0,2.0
3,19393,0.0,54,82,2,2,0.0,2.0
3,19393,2.0,54,43,1,1,1.0,1.0
3,19393,3.0,54,43,2,2,0.0,1.0
3,19393,0.0,54,33,2,2,0.0,1.0
3,19393,0.0,54,33,0,1,1.0,1.0
3,19393,0.0,54,33,2,2,0.0,1.0
3,19393,0.0,54,33,1,2,0.0,1.0
3,19393,1.0,54,33,2,0,0.0,1.0
3,19393,0.0,54,33,0,1,0.0,1.0
3,19393,2.0,54,74,1,1,0.0,1.0
3,19393,3.0,54,74,0,1,1.0,1.0
3,19393,0.0,54,74,2,2,0.0,1.0
3,19393,0.0,54,74,0,0,0.0,1.0
3,19393,0.0,54,74,1,2,0.0,1.0
3,19393,2.0,54,74,0,1,0.0,1.0
3,19393,2.0,54,74,2,2,0.0,1.0
3,19393,0.0,54,22,1,1,0.0,2.0
3,19393,0.0,54,33,2,2,0.0,1.0
3,19393,0.0,54,33,0,1,0.0,1.0
3,19393,0.0,54,85,1,1,0.0,2.0
3,19393,1.0,54,85,2,2,1.0,2.0
3,19393,0.0,54,85,0,0,0.0,2.0
3,19393,0.0,54,91,1,1,0.0,2.0
3,19393,3.0,54,22,1,2,1.0,1.0
3,19393,0.0,54,22,0,1,0.0,1.0
3,19393,2.0,54,22,1,1,0.0,1.0
3,19393,0.0,54,22,2,2,0.0,1.0
3,19393,1.0,54,64,2,2,0.0,1.0
3,19393,2.0,54,64,0,1,1.0,1.0
3,19393,3.0,54,64,2,2,1.0,1.0
3,19393,3.0,54,33,2,2,1.0,1.0
3,19393,0.0,54,33,0,1,0.0,1.0
3,19393,3.0,54,33,2,0,1.0,1.0
3,19393,0.0,54,33,1,1,0.0,1.0
3,19393,0.0,54,41,0,0,0.0,0.0
3,19393,3.0,54,41,2,2,0.0,0.0
3,19393,1.0,54,41,2,2,0.0,0.0
3,19393,0.0,54,41,0,0,0.0,0.0
3,19393,0.0,54,41,2,2,1.0,0.0
3,19393,1.0,54,41,1,2,0.0,0.0
3,19393,0.0,54,41,1,1,0.0,0.0
3,19393,0.0,54,33,1,1,0.0,2.0
3,19393,0.0,54,33,2,2,0.0,2.0
3,19393,0.0,54,45,2,2,0.0,1.0
3,19393,0.0,54,45,1,1,0.0,1.0
3,19393,0.0,54,63,2,2,0.0,1.0
3,19393,3.0,54,72,0,1,1.0,1.0
2,19393,2.0,54,82,1,2,1.0,2.0
2,19393,3.0,54,82,1,1,1.0,2.0
2,19393,0.0,54,82,2,2,1.0,2.0
2,19393,3.0,54,43,1,1,1.0,1.0
2,19393,0.0,54,43,2,2,0.0,1.0
2,19393,0.0,54,33,2,2,0.0,1.0
2,19393,0.0,54,33,0,1,0.0,1.0
2,19393,0.0,54,33,2,2,0.0,1.0
2,19393,1.0,54,33,1,2,0.0,1.0
2,19393,0.0,54,33,2,0,0.0,1.0
2,19393,1.0,54,33,0,1,0.0,1.0
2,19393,1.0,54,74,1,1,0.0,1.0
2,19393,0.0,54,74,0,1,0.0,1.0
2,19393,0.0,54,74,2,2,0.0,1.0
2,19393,0.0,54,74,0,0,0.0,1.0
2,19393,2.0,54,74,1,2,0.0,1.0
2,19393,0.0,54,74,0,1,0.0,1.0
2,19393,0.0,54,74,2,2,0.0,1.0
2,19393,0.0,54,22,1,1,0.0,2.0
2,19393,1.0,54,33,2,2,0.0,1.0
2,19393,1.0,54,33,0,1,0.0,1.0
2,19393,1.0,54,85,1,1,1.0,2.0
2,19393,3.0,54,85,2,2,0.0,2.0
2,19393,0.0,54,85,0,0,0.0,2.0
2,19393,1.0,54,91,1,1,0.0,2.0
2,19393,0.0,54,22,1,2,0.0,1.0
2,19393,0.0,54,22,0,1,0.0,1.0
2,19393,1.0,54,22,1,1,0.0,1.0
2,19393,3.0,54,22,2,2,1.0,1.0
2,19393,3.0,54,64,2,2,1.0,1.0
2,19393,0.0,54,64,0,1,0.0,1.0
2,19393,0.0,54,64,2,2,0.0,1.0
2,19393,3.0,54,33,2,2,1.0,1.0
2,19393,0.0,54,33,0,1,0.0,1.0
2,19393,0.0,54,33,2,0,0.0,1.0
2,19393,0.0,54,33,1,1,0.0,1.0
2,19393,0.0,54,41,0,0,0.0,0.0
2,19393,3.0,54,41,2,2,1.0,0.0
2,19393,0.0,54,41,2,2,0.0,0.0
2,19393,1.0,54,41,0,0,1.0,0.0
2,19393,2.0,54,41,2,2,0.0,0.0
2,19393,2.0,54,41,1,2,0.0,0.0
2,19393,0.0,54,41,1,1,0.0,0.0
2,19393,0.0,54,33,1,1,0.0,2.0
2,19393,3.0,54,33,2,2,1.0,2.0
2,19393,2.0,54,45,2,2,0.0,1.0
2,19393,0.0,54,45,1,1,0.0,1.0
2,19393,0.0,54,63,2,2,0.0,1.0
2,19393,0.0,54,72,0,1,0.0,1.0
2,19393,3.0,54,72,1,1,1.0,1.0
2,19393,3.0,54,72,2,2,1.0,1.0
2,19393,0.0,54,37,1,1,0.0,1.0
2,19393,0.0,54,37,2,2,0.0,1.0
2,19393,3.0,54,41,1,1,1.0,1.0
2,19393,0.0,54,41,2,2,0.0,1.0
2,19393,1.0,54,41,1,1,0.0,1.0
2,19393,0.0,54,41,0,0,0.0,1.0
2,19393,0.0,54,38,1,1,0.0,1.0
2,19393,3.0,54,23,2,2,1.0,1.0
2,19393,0.0,54,23,1,1,0.0,1.0
2,19393,0.0,54,81,0,0,0.0,2.0
2,19393,0.0,54,81,1,2,0.0,2.0
2,19393,0.0,54,81,2,2,0.0,2.0
2,19393,3.0,54,23,1,2,1.0,1.0
2,19393,0.0,54,23,1,1,0.0,1.0
2,19393,3.0,54,33,2,2,1.0,0.0
2,19393,1.0,54,33,0,1,0.0,0.0
2,19393,2.0,54,36,2,2,0.0,1.0
2,19393,0.0,54,36,0,1,0.0,1.0
2,19393,0.0,54,36,2,2,0.0,1.0
2,19393,2.0,54,33,2,2,0.0,1.0
2,19393,3.0,54,91,1,1,0.0,2.0
2,19393,3.0,54,74,2,2,0.0,2.0
2,19393,0.0,54,74,0,1,0.0,2.0
2,19393,0.0,54,34,1,1,0.0,1.0
2,19393,0.0,54,91,1,1,0.0,2.0
2,19393,0.0,54,91,1,1,0.0,2.0
2,19393,1.0,54,33,0,1,0.0,1.0
2,19393,0.0,54,33,2,2,0.0,1.0
2,19393,0.0,54,64,0,0,0.0,0.0
2,19393,0.0,54,64,2,2,0.0,0.0
2,19393,1.0,54,64,2,2,1.0,0.0
2,19393,0.0,54,64,1,1,0.0,0.0
2,19393,0.0,54,33,0,0,0.0,1.0
2,19393,0.0,54,33,2,2,0.0,1.0
2,19393,0.0,54,33,1,1,0.0,1.0
2,19393,0.0,54,33,2,0,0.0,1.0
2,19393,0.0,54,33,0,1,0.0,0.0
2,19393,3.0,54,33,2,2,1.0,0.0
2,19393,0.0,83,82,0,1,0.0,1.0
2,19393,3.0,83,82,2,2,1.0,1.0
2,19393,0.0,83,82,1,1,0.0,1.0
2,19393,3.0,83,85,1,1,1.0,1.0
2,19393,0.0,83,91,0,0,0.0,1.0
2,19393,0.0,83,91,2,2,1.0,1.0
2,19393,3.0,83,81,1,1,1.0,1.0
2,19393,0.0,83,81,0,0,0.0,1.0
2,19393,0.0,83,91,1,1,0.0,1.0
2,19393,3.0,83,91,1,2,1.0,1.0
2,19393,3.0,83,91,1,1,1.0,1.0
2,19393,3.0,83,91,2,2,1.0,1.0
2,19393,0.0,83,91,1,1,0.0,1.0
2,19393,0.0,13,54,1,1,0.0,2.0
2,19393,3.0,13,54,2,2,0.0,2.0
2,19393,0.0,13,54,0,0,0.0,2.0
2,19393,3.0,13,35,2,2,1.0,0.0
2,19393,0.0,13,35,0,1,0.0,0.0
2,19393,0.0,13,35,1,1,0.0,0.0
2,19393,0.0,13,35,2,2,0.0,0.0
2,19393,0.0,13,35,0,0,0.0,0.0
2,19393,1.0,13,35,1,1,0.0,0.0
2,19393,3.0,13,35,2,2,1.0,0.0
2,19393,3.0,13,82,2,2,1.0,2.0
2,19393,0.0,13,41,0,0,0.0,2.0
2,19393,3.0,13,41,2,2,1.0,2.0
2,19393,0.0,13,41,1,1,0.0,2.0
2,19393,3.0,13,41,1,1,1.0,2.0
2,19393,0.0,13,41,2,2,0.0,2.0
2,19393,0.0,13,64,1,1,0.0,2.0
2,19393,0.0,13,64,0,0,0.0,2.0
2,19393,0.0,13,64,1,2,0.0,2.0
2,19393,3.0,22,35,2,2,1.0,0.0
2,19393,0.0,22,35,0,1,0.0,0.0
2,19393,0.0,22,35,1,1,0.0,0.0
2,19393,0.0,22,35,1,1,0.0,0.0
2,19393,0.0,22,35,0,0,0.0,0.0
2,19393,0.0,22,35,2,2,0.0,0.0
2,19393,3.0,22,82,0,0,1.0,2.0
2,19393,2.0,22,33,1,2,1.0,2.0
2,19393,0.0,22,41,2,2,0.0,1.0
2,19393,2.0,22,41,1,1,0.0,1.0
2,19393,0.0,22,41,0,0,0.0,1.0
2,19393,2.0,22,41,1,1,0.0,1.0
2,19393,2.0,22,33,1,2,0.0,2.0
2,19393,0.0,91,86,1,1,0.0,1.0
2,19393,0.0,91,74,1,1,1.0,2.0
2,19393,0.0,91,54,1,2,0.0,2.0
2,19393,0.0,91,82,1,1,0.0,2.0
2,19393,3.0,91,82,1,2,1.0,2.0
2,19393,0.0,91,82,0,1,1.0,2.0
2,19393,2.0,91,82,1,1,0.0,2.0
2,19393,3.0,91,85,1,1,1.0,0.0
2,19393,0.0,91,85,1,1,1.0,0.0
2,19393,0.0,91,85,1,2,1.0,0.0
2,19393,1.0,91,85,2,2,0.0,0.0
2,19393,0.0,91,85,2,2,1.0,0.0
2,19393,1.0,91,85,1,1,0.0,0.0
2,19393,3.0,91,85,2,2,1.0,0.0
2,19393,0.0,91,85,1,1,1.0,0.0
2,19393,1.0,91,85,0,1,0.0,0.0
2,19393,2.0,91,85,2,2,0.0,0.0
2,19393,0.0,91,85,0,0,0.0,0.0
2,19393,0.0,91,41,1,2,0.0,2.0
2,19393,0.0,91,91,2,2,0.0,0.0
2,19393,3.0,91,91,1,1,1.0,0.0
2,19393,3.0,91,91,1,2,1.0,0.0
2,19393,0.0,91,91,2,2,0.0,0.0
2,19393,0.0,91,91,1,1,0.0,0.0
2,19393,0.0,91,91,0,1,0.0,0.0
2,19393,0.0,91,91,1,1,0.0,0.0
